run,auc,ap,,,auc,ap
0,0.923176819,0.872221713,,max,0.932549088,0.892198587
1,0.926176062,0.884359428,,min,0.888310321,0.814344742
2,0.928167932,0.875074625,,mean,0.923715717,0.869414272
3,0.913952186,0.851890364,,std,0.00882234,0.015397903
4,0.926332741,0.877678006,,median,0.926363332,0.873441902
5,0.923141706,0.860104375,,,,
6,0.927667305,0.872623557,,,,
7,0.920416984,0.86524006,,,,
8,0.925152995,0.865438689,,,,
9,0.926393923,0.87653209,,,,
10,0.927179179,0.870775379,,,,
11,0.927029683,0.877831559,,,,
12,0.923364089,0.877987669,,,,
13,0.902535112,0.828430086,,,,
14,0.930039832,0.875667498,,,,
15,0.923570778,0.86690232,,,,
16,0.925769868,0.86852828,,,,
17,0.925727306,0.877537732,,,,
18,0.927276272,0.874176206,,,,
19,0.924976099,0.873680314,,,,
20,0.927338518,0.872064244,,,,
21,0.915407783,0.860103075,,,,
22,0.932549088,0.892198587,,,,
23,0.930348668,0.875015337,,,,
24,0.927197002,0.863947269,,,,
25,0.888310321,0.814344742,,,,
26,0.926481174,0.879568731,,,,
27,0.927216155,0.88431214,,,,
28,0.931114239,0.874990585,,,,
29,0.92746168,0.87320349,,,,
