model,relation,n_test,auc,ap,neg_impossible
distmult,hasForce,170,0.9287 ± 0.0220,0.9213 ± 0.0234,0.0%
distmult,hasIntensity,175,0.8562 ± 0.0368,0.7996 ± 0.0438,0.0%
distmult,hasMechanic,158,0.9555 ± 0.0200,0.9548 ± 0.0208,0.0%
distmult,isVariationOf,26,0.7482 ± 0.0809,0.7504 ± 0.0799,0.0%
distmult,recruits,341,0.8409 ± 0.0145,0.8358 ± 0.0166,0.0%
distmult,requires,175,0.7388 ± 0.0258,0.7316 ± 0.0272,0.0%
distmult,supportsGoal,330,0.9330 ± 0.0109,0.8999 ± 0.0173,0.0%
distmult,targets,175,0.8001 ± 0.0277,0.7972 ± 0.0271,0.0%
gcn,hasForce,170,0.8606 ± 0.0243,0.8575 ± 0.0254,0.0%
gcn,hasIntensity,175,0.7003 ± 0.0355,0.6644 ± 0.0433,0.0%
gcn,hasMechanic,158,0.8282 ± 0.0300,0.8250 ± 0.0319,0.0%
gcn,isVariationOf,26,0.8528 ± 0.0527,0.8365 ± 0.0663,0.0%
gcn,recruits,341,0.8126 ± 0.0152,0.7800 ± 0.0157,0.0%
gcn,requires,175,0.7056 ± 0.0236,0.7019 ± 0.0255,0.0%
gcn,supportsGoal,330,0.9195 ± 0.0155,0.9047 ± 0.0190,0.0%
gcn,targets,175,0.7657 ± 0.0239,0.7280 ± 0.0290,0.0%
gcn_distmult,hasForce,170,0.7745 ± 0.0494,0.7593 ± 0.0643,0.0%
gcn_distmult,hasIntensity,175,0.6966 ± 0.0449,0.6648 ± 0.0414,0.0%
gcn_distmult,hasMechanic,158,0.8267 ± 0.0468,0.8260 ± 0.0413,0.0%
gcn_distmult,isVariationOf,26,0.6420 ± 0.1411,0.6516 ± 0.1278,0.0%
gcn_distmult,recruits,341,0.7834 ± 0.0267,0.7582 ± 0.0317,0.0%
gcn_distmult,requires,175,0.6781 ± 0.0390,0.6680 ± 0.0408,0.0%
gcn_distmult,supportsGoal,330,0.9267 ± 0.0169,0.9072 ± 0.0224,0.0%
gcn_distmult,targets,175,0.7247 ± 0.0321,0.6813 ± 0.0336,0.0%
mf,hasForce,170,0.9277 ± 0.0180,0.9195 ± 0.0245,0.0%
mf,hasIntensity,175,0.8338 ± 0.0275,0.7882 ± 0.0261,0.0%
mf,hasMechanic,158,0.9327 ± 0.0185,0.9316 ± 0.0203,0.0%
mf,isVariationOf,26,0.8714 ± 0.0427,0.8592 ± 0.0542,0.0%
mf,recruits,341,0.8369 ± 0.0141,0.7933 ± 0.0193,0.0%
mf,requires,175,0.7476 ± 0.0272,0.7482 ± 0.0276,0.0%
mf,supportsGoal,330,0.9429 ± 0.0143,0.9249 ± 0.0206,0.0%
mf,targets,175,0.7875 ± 0.0269,0.7267 ± 0.0363,0.0%
rgcn,hasForce,170,0.8480 ± 0.0354,0.8399 ± 0.0385,0.0%
rgcn,hasIntensity,175,0.7420 ± 0.0370,0.7000 ± 0.0459,0.0%
rgcn,hasMechanic,158,0.8804 ± 0.0281,0.8746 ± 0.0300,0.0%
rgcn,isVariationOf,26,0.6776 ± 0.1080,0.6741 ± 0.0893,0.0%
rgcn,recruits,341,0.8037 ± 0.0198,0.7935 ± 0.0188,0.0%
rgcn,requires,175,0.6993 ± 0.0378,0.6782 ± 0.0445,0.0%
rgcn,supportsGoal,330,0.9316 ± 0.0139,0.9115 ± 0.0280,0.0%
rgcn,targets,175,0.7521 ± 0.0277,0.7269 ± 0.0355,0.0%
