metric,reference,model,n,mean_ref,mean_model,diff,p,d,p_holm,sig
auc,rgcn,distmult,30,0.8226026638917794,0.8687554699965312,-0.04615280610475181,1.862645149230957e-09,-3.7637418727127994,5.21540641784668e-08,*
ap,rgcn,distmult,30,0.8061602266848219,0.8447494495489767,-0.03858922286415478,1.862645149230957e-09,-2.8499799188910235,5.21540641784668e-08,*
delta_muscle,rgcn,distmult,30,0.307331250111262,0.25953296273946763,0.04779828737179437,9.220093488693237e-06,1.0992495636664208,0.00011064112186431885,*
retrieval_muscle,rgcn,distmult,30,0.44843069873997715,0.4942955326460481,-0.045864833906070934,1.6391277313232422e-07,-1.374223049344391,2.7865171432495117e-06,*
delta_type,rgcn,distmult,30,0.6575767636299134,0.49584900538126625,0.1617277582486471,1.862645149230957e-08,1.5500520646197877,3.725290298461914e-07,*
retrieval_type,rgcn,distmult,30,0.8804276441389846,0.927315769377625,-0.0468881252386405,1.7322162331441136e-06,-3.7458094845667347,2.425102726401759e-05,*
silhouette_type,rgcn,distmult,30,0.2604275892178218,0.22735447585582727,0.033073113361994505,0.0006084088236093521,0.7047565023579789,0.0030420441180467606,*
auc,rgcn,gcn,30,0.8226026638917794,0.8112950190773501,0.011307644814429252,0.0003449581563472748,0.7368603833022703,0.002502039074897766,*
ap,rgcn,gcn,30,0.8061602266848219,0.7864075497267885,0.0197526769580334,3.1478703022003174e-07,1.2631571286800336,5.036592483520508e-06,*
delta_muscle,rgcn,gcn,30,0.307331250111262,0.37748721639315286,-0.07015596628189086,1.862645149230957e-09,-1.9364847373773484,5.21540641784668e-08,*
retrieval_muscle,rgcn,gcn,30,0.44843069873997715,0.3876288659793815,0.06080183276059564,2.1253203734574536e-06,1.9522000917407978,2.7629164854946896e-05,*
delta_type,rgcn,gcn,30,0.6575767636299134,0.6118266781171163,0.04575008551279702,0.0008718203753232956,0.6412395132599914,0.0034872815012931824,*
retrieval_type,rgcn,gcn,30,0.8804276441389846,0.8686445208094694,0.011783123329515144,5.0766471163761653e-05,0.8992978599420507,0.0005076647116376166,*
silhouette_type,rgcn,gcn,30,0.2604275892178218,0.25042898009220754,0.009998609125614233,0.05768792890012264,0.30062372486124506,0.11537585780024529,
auc,rgcn,gcn_distmult,30,0.8226026638917794,0.7954881997918833,0.02711446409989604,1.862645149230957e-09,2.1066522805205414,5.21540641784668e-08,*
ap,rgcn,gcn_distmult,30,0.8061602266848219,0.7769669891903525,0.02919323749446945,6.146728992462158e-08,1.6615833673033038,1.16787850856781e-06,*
delta_muscle,rgcn,gcn_distmult,30,0.307331250111262,0.3509401112794876,-0.0436088611682256,3.049522638320923e-05,-0.8944785929088294,0.0003354474902153015,*
retrieval_muscle,rgcn,gcn_distmult,30,0.44843069873997715,0.37796869033982444,0.07046200840015271,1.862645149230957e-09,2.6026990957574068,5.21540641784668e-08,*
delta_type,rgcn,gcn_distmult,30,0.6575767636299134,0.7257216314474741,-0.0681448678175608,0.00466480478644371,-0.5775508473179788,0.013994414359331131,*
retrieval_type,rgcn,gcn_distmult,30,0.8804276441389846,0.8831080565101185,-0.0026804123711339223,0.20587623241598085,-0.21273054646278025,0.20587623241598085,
silhouette_type,rgcn,gcn_distmult,30,0.2604275892178218,0.30276303241650265,-0.04233544319868088,0.00013739429414272308,-0.8685697113172223,0.0012365486472845078,*
auc,rgcn,mf,30,0.8226026638917794,0.8622611099549081,-0.03965844606312874,1.862645149230957e-09,-3.6801327583531065,5.21540641784668e-08,*
ap,rgcn,mf,30,0.8061602266848219,0.8269699175586589,-0.020809690873836995,8.009374141693115e-08,-1.5173709311174193,1.4416873455047607e-06,*
delta_muscle,rgcn,mf,30,0.307331250111262,0.26188652912775673,0.04544472098350527,0.00031275488436222076,0.7007096326825015,0.002502039074897766,*
retrieval_muscle,rgcn,mf,30,0.44843069873997715,0.42665139366170296,0.02177930507827419,0.0003879732068472332,0.7997126038352625,0.002502039074897766,*
delta_type,rgcn,mf,30,0.6575767636299134,0.433846108118693,0.22373065551122034,3.725290298461914e-09,2.2062099974174423,7.82310962677002e-08,*
retrieval_type,rgcn,mf,30,0.8804276441389846,0.9256281023291333,-0.04520045819014873,1.862645149230957e-09,-3.229233836026439,5.21540641784668e-08,*
silhouette_type,rgcn,mf,30,0.2604275892178218,0.2028597767154375,0.05756781250238427,4.7124922275543213e-07,1.203784657114456,7.068738341331482e-06,*
