node,type,degree
0,Exercise,8
1,MuscleGroup,149
2,Equipment,188
3,ExerciseType,581
4,IntensityLevel,523
5,ForceType,371
6,MechanicType,489
7,ExerciseGoal,675
8,ExerciseGoal,581
9,Exercise,8
10,MuscleGroup,277
11,MuscleGroup,209
12,ExerciseType,123
13,ForceType,369
14,ExerciseGoal,123
15,ExerciseGoal,123
16,Exercise,8
17,Equipment,67
18,IntensityLevel,293
19,MechanicType,297
20,Exercise,9
21,MuscleGroup,335
22,Equipment,122
23,Exercise,8
24,MuscleGroup,54
25,Equipment,11
26,ForceType,104
27,Exercise,7
28,Exercise,11
29,MuscleGroup,242
30,Equipment,53
31,Exercise,8
32,Exercise,7
33,MuscleGroup,227
34,Exercise,9
35,MuscleGroup,127
36,MuscleGroup,119
37,Equipment,123
38,Exercise,8
39,Exercise,10
40,Exercise,12
41,MuscleGroup,43
42,ExerciseType,61
43,ExerciseGoal,117
44,Exercise,10
45,MuscleGroup,218
46,Equipment,81
47,Exercise,8
48,Exercise,11
49,MuscleGroup,147
50,Exercise,14
51,MuscleGroup,131
52,MuscleGroup,97
53,Exercise,10
54,Exercise,11
55,MuscleGroup,97
56,MuscleGroup,93
57,Exercise,13
58,IntensityLevel,57
59,Exercise,8
60,Exercise,7
61,Exercise,7
62,Exercise,11
63,Equipment,170
64,Exercise,9
65,Exercise,9
66,Exercise,9
67,Exercise,13
68,ExerciseType,94
69,Exercise,18
70,Exercise,14
71,Exercise,10
72,Equipment,20
73,Exercise,13
74,Exercise,7
75,Equipment,17
76,Exercise,9
77,Exercise,10
78,Equipment,12
79,Exercise,10
80,Exercise,10
81,Exercise,9
82,Exercise,8
83,Exercise,10
84,Exercise,8
85,Exercise,11
86,Exercise,11
87,Exercise,11
88,Exercise,10
89,Exercise,8
90,Exercise,17
91,Exercise,12
92,Exercise,9
93,Exercise,10
94,Exercise,12
95,Exercise,9
96,Exercise,11
97,Exercise,10
98,Exercise,11
99,Exercise,11
100,Exercise,12
101,Exercise,9
102,Exercise,11
103,Exercise,9
104,Exercise,10
105,Exercise,10
106,Exercise,11
107,Exercise,17
108,Exercise,13
109,Exercise,12
110,Exercise,12
111,Exercise,10
112,Exercise,11
113,Exercise,9
114,Exercise,10
115,Exercise,10
116,Exercise,11
117,Exercise,11
118,Exercise,10
119,Exercise,10
120,Exercise,11
121,Exercise,11
122,Exercise,8
123,Exercise,11
124,Exercise,8
125,Exercise,11
126,Exercise,12
127,Exercise,10
128,Exercise,11
129,Exercise,10
