model,label,lam,seed,params,val_auc,auc,ap,delta_muscle,retrieval_muscle,delta_type,retrieval_type,silhouette_type,per_relation
jaccard,Jaccard on target-muscle sets (no learning),,0,0,,,,,1.0,,0.5427262313860252,,{}
mf,Free embeddings (matrix factorization),0.0,0,59008,0.8945758010443325,0.8773410628019324,0.8541544710271088,0.27198126912117004,0.4329896907216495,0.6322498917579651,0.9777777777777777,0.35144490003585815,"{""hasForce"": {""auc"": 0.9368858131487888, ""ap"": 0.9361166897807182, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.7604244897959184, ""ap"": 0.6861686123312373, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.8927655824387117, ""ap"": 0.8885940033316717, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.9744979591836734, ""ap"": 0.9707899404497151, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.8032544378698224, ""ap"": 0.8014231721164093, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8346333450864716, ""ap"": 0.805292832976988, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7531755102040818, ""ap"": 0.7386490252885548, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9725987144168963, ""ap"": 0.9625479888122092, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7979755102040818, ""ap"": 0.7465224790989622, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,1,59008,0.8929837644872611,0.863087586641462,0.8405444837146143,0.2622370719909668,0.4306987399770905,0.6310182213783264,0.9747995418098511,0.354813814163208,"{""hasForce"": {""auc"": 0.8960207612456749, ""ap"": 0.8705878348947057, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8664816326530613, ""ap"": 0.840546271574068, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.86901137638199, ""ap"": 0.8651324141599697, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.9704489795918367, ""ap"": 0.9673013736340623, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.871301775147929, ""ap"": 0.8600523461338155, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8251477025481377, ""ap"": 0.8121038849746988, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7194122448979591, ""ap"": 0.7078230892564142, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9395775941230486, ""ap"": 0.9261863671102549, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7538285714285714, ""ap"": 0.6924668483894965, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,2,59008,0.8844252096000347,0.8756471329552614,0.8526764021612255,0.23543766140937805,0.3924398625429553,0.5897946953773499,0.9697594501718213,0.31778398156166077,"{""hasForce"": {""auc"": 0.8887889273356401, ""ap"": 0.8812658744855181, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8044734693877551, ""ap"": 0.7647256350687701, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.8930059285370934, ""ap"": 0.8936672505609797, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.9597061224489796, ""ap"": 0.950465518206657, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.8535502958579881, ""ap"": 0.8287069563327836, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8218711569387948, ""ap"": 0.7935930787863649, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7787428571428572, ""ap"": 0.7266629816897463, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9682920110192837, ""ap"": 0.9548739340419848, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.8037877551020408, ""ap"": 0.7643483245076582, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,3,59008,0.8912905276541639,0.8769186305398026,0.848918650130092,0.24721448123455048,0.4343642611683849,0.6041486263275146,0.9715922107674685,0.3329116106033325,"{""hasForce"": {""auc"": 0.8979238754325259, ""ap"": 0.8952182041678103, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8238367346938776, ""ap"": 0.7462217704531149, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9568578753404903, ""ap"": 0.9586456082744995, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.9635265306122449, ""ap"": 0.9518390090056845, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.8446745562130177, ""ap"": 0.8715936104510764, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8476793285231466, ""ap"": 0.7997677648577998, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7583673469387755, ""ap"": 0.7137082750917971, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9599081726354454, ""ap"": 0.9483378381379733, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7467102040816327, ""ap"": 0.6788723179809807, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,4,59008,0.8929110904635381,0.8693978575929426,0.8422877449214359,0.3150690793991089,0.4616265750286369,0.7301316261291504,0.9679266895761741,0.3843068778514862,"{""hasForce"": {""auc"": 0.920069204152249, ""ap"": 0.9055641489364669, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8171102040816327, ""ap"": 0.751085183285345, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.889440794744432, ""ap"": 0.879554934244242, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.9677061224489797, ""ap"": 0.9611619037351864, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.9452662721893491, ""ap"": 0.9624861545653971, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8292326347382634, ""ap"": 0.7987422017590824, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7223836734693877, ""ap"": 0.7161896392650153, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9580257116620753, ""ap"": 0.9348981853127106, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7626122448979591, ""ap"": 0.6892758903457064, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,5,59008,0.887299569117751,0.8779269901281243,0.8524388046712996,0.3036814033985138,0.44536082474226807,0.7129064798355103,0.9720504009163803,0.3753567039966583,"{""hasForce"": {""auc"": 0.9325951557093426, ""ap"": 0.93425819204742, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8096326530612246, ""ap"": 0.745946933447839, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9614645088928057, ""ap"": 0.9630959142864337, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.959934693877551, ""ap"": 0.9519454049396656, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.8520710059171598, ""ap"": 0.8371481452572835, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8304882138956494, ""ap"": 0.8031874135081427, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7551346938775509, ""ap"": 0.7354740022171125, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9539853076216712, ""ap"": 0.9439866768961922, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7859591836734694, ""ap"": 0.7221869993395299, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,6,59008,0.8843484603974114,0.8718040747742072,0.8465448929604511,0.20901614427566528,0.4027491408934708,0.5466627478599548,0.9718213058419244,0.31903114914894104,"{""hasForce"": {""auc"": 0.9101730103806228, ""ap"": 0.890254708042699, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8476408163265305, ""ap"": 0.7942138922499089, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9540538375260375, ""ap"": 0.955107193710736, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.967934693877551, ""ap"": 0.966978830417494, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.6908284023668639, ""ap"": 0.6670145558154317, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8372993008316062, ""ap"": 0.7966793388214395, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7308734693877551, ""ap"": 0.7126438070819586, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9583930211202938, ""ap"": 0.9539150742035913, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7685224489795919, ""ap"": 0.7028394211557571, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,7,59008,0.8720196858308746,0.8736645242596094,0.8450019258204436,0.19296501576900482,0.3706758304696449,0.49257519841194153,0.9583046964490264,0.2832639217376709,"{""hasForce"": {""auc"": 0.9076124567474048, ""ap"": 0.9071069002513207, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8218122448979592, ""ap"": 0.7240576025082166, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9326229770870053, ""ap"": 0.9346908963135401, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.9582367346938777, ""ap"": 0.9448549809420027, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.7085798816568047, ""ap"": 0.6700872768512324, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8117405251072831, ""ap"": 0.785737320063379, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7250938775510204, ""ap"": 0.7252643773860297, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9753719008264462, ""ap"": 0.9689914655659626, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7728326530612245, ""ap"": 0.6909444312699327, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,8,59008,0.8831394906569731,0.8763207729468598,0.8545871517424225,0.2474527209997177,0.41237113402061853,0.5876086950302124,0.9738831615120275,0.3379274606704712,"{""hasForce"": {""auc"": 0.9372664359861591, ""ap"": 0.9215009732322152, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8183836734693878, ""ap"": 0.7661037466323904, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9206457298509855, ""ap"": 0.9173731441683717, ""neg_fail"": 0.0, ""n_test"": 158}, ""hasType"": {""auc"": 0.9445877551020408, ""ap"": 0.9383037213073494, ""neg_fail"": 0.0, ""n_test"": 175}, ""isVariationOf"": {""auc"": 0.9112426035502958, ""ap"": 0.8833733469670806, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8389160739931718, ""ap"": 0.7921001380564141, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7517061224489796, ""ap"": 0.7518042817442994, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9645270890725437, ""ap"": 0.9584737424563673, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7768163265306123, ""ap"": 0.7327067892854717, ""neg_fail"": 0.0, ""n_test"": 175}}"
