run,auc,ap,,AUC,
0,0.98884654,0.984522683,,max,0.992354391
1,0.988530523,0.983683582,,min,0.977542254
2,0.991465392,0.988108807,,std,0.002928534
3,0.984576044,0.977172485,,median,0.988536774
4,0.985952371,0.973001375,,mean,0.987514194
5,0.98934371,0.985425615,,AP,
6,0.988804511,0.982586084,,max,0.988305871
7,0.988473065,0.982248053,,min,0.970554089
8,0.984144845,0.971824211,,std,0.004826174
9,0.987358224,0.98144761,,median,0.981132344
10,0.988534247,0.981284441,,mean,0.980466305
11,0.988593567,0.984933691,,,
12,0.98650753,0.977183153,,,
13,0.983627193,0.970554089,,,
14,0.989311523,0.984281646,,,
15,0.992354391,0.988305871,,,
16,0.985108327,0.978451927,,,
17,0.988615911,0.979570118,,,
18,0.989000293,0.980980247,,,
19,0.977542254,0.973373576,,,
20,0.989120263,0.979487268,,,
21,0.991460603,0.987151725,,,
22,0.988539301,0.984134202,,,
23,0.987390145,0.983292788,,,
24,0.990030809,0.984276989,,,
25,0.985699131,0.975569372,,,
26,0.985438177,0.973925723,,,
27,0.988591438,0.978943555,,,
28,0.983922462,0.978676991,,,
29,0.988543025,0.979591266,,,
