model,label,lam,seed,params,val_auc,auc,ap,delta_muscle,retrieval_muscle,delta_type,retrieval_type,silhouette_type,per_relation
jaccard,Jaccard on target-muscle sets (no learning),,0,0,,,,,0.8407079646017699,,0.10265486725663717,,{}
mf,Free embeddings (matrix factorization),0.0,0,32576,0.4982915224913495,0.5103994135343428,0.5203620369172575,-0.0018428178736940026,0.12920353982300886,0.0023784954100847244,0.09955752212389381,-0.038999442011117935,"{""targets"": {""auc"": 0.4944019274376418, ""ap"": 0.5204581843323053, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.5967078189300413, ""ap"": 0.653448589880237, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.5004226542688082, ""ap"": 0.48891540080609175, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.4860524091293323, ""ap"": 0.5207369018574737, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5286197319164352, ""ap"": 0.5064772534849491, ""neg_fail"": 0.04395604506134987, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.503858024691358, ""ap"": 0.5368135658000215, ""neg_fail"": 0.8611111044883728, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.46153846153846156, ""ap"": 0.48269875027198195, ""neg_fail"": 0.0, ""n_test"": 13}}"
mf,Free embeddings (matrix factorization),0.0,1,32576,0.5519204152249135,0.5191266816522444,0.5237793144683045,-0.0014264988712966442,0.12654867256637167,0.0035015468019992113,0.10929203539823008,-0.03812331706285477,"{""targets"": {""auc"": 0.5077239229024944, ""ap"": 0.5313835222445571, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.522633744855967, ""ap"": 0.570838167912406, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.48774302620456467, ""ap"": 0.5399578906641191, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5099625649076198, ""ap"": 0.5054573537642671, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.562733969327376, ""ap"": 0.5311032482532112, ""neg_fail"": 0.05494505539536476, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.5150771604938271, ""ap"": 0.5212389100900432, ""neg_fail"": 0.8333333134651184, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.6982248520710059, ""ap"": 0.7009125291633032, ""neg_fail"": 0.0, ""n_test"": 13}}"
mf,Free embeddings (matrix factorization),0.3,0,32576,0.49741782006920415,0.5107712361411574,0.5199854297811356,0.00031103903893381357,0.13185840707964602,0.002312488155439496,0.09911504424778761,-0.03905601426959038,"{""targets"": {""auc"": 0.4950751133786848, ""ap"": 0.5203701001347957, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.5967078189300411, ""ap"": 0.6549310905113098, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.49933582900615875, ""ap"": 0.4884356213430052, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.4844825504166164, ""ap"": 0.5206715654299705, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5303103489916676, ""ap"": 0.5078387659734491, ""neg_fail"": 0.04395604506134987, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.505679012345679, ""ap"": 0.5374134910422957, ""neg_fail"": 0.8611111044883728, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.4556213017751479, ""ap"": 0.48303757030389666, ""neg_fail"": 0.0, ""n_test"": 13}}"
mf,Free embeddings (matrix factorization),0.3,1,32576,0.5541003460207613,0.5178253025283938,0.5232310852352473,0.0032533560879528522,0.13185840707964602,0.0033189356327056885,0.11283185840707964,-0.03817828372120857,"{""targets"": {""auc"": 0.5050666099773242, ""ap"": 0.5277278977099086, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.5229766803840878, ""ap"": 0.5751965108404217, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.4849655838666828, ""ap"": 0.5387616656304697, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5070643642072213, ""ap"": 0.5057571855059801, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5565752928390291, ""ap"": 0.5252966781821888, ""neg_fail"": 0.05494505539536476, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.5196141975308642, ""ap"": 0.5242890936085968, ""neg_fail"": 0.8333333134651184, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.6863905325443788, ""ap"": 0.6842458624966365, ""neg_fail"": 0.0, ""n_test"": 13}}"
distmult,"DistMult (relation types, no propagation)",0.0,0,33024,0.5492214532871973,0.5103518793942672,0.5185142295581224,-0.0018365724245086312,0.1314159292035398,0.0030783438123762608,0.09646017699115045,-0.03869267553091049,"{""targets"": {""auc"": 0.5549532312925171, ""ap"": 0.5557689696425087, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.4989711934156379, ""ap"": 0.5287381375175724, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.47602946504045407, ""ap"": 0.5118319844261285, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5144306243207342, ""ap"": 0.5239600576803001, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5451032483999517, ""ap"": 0.5657431447909091, ""neg_fail"": 0.021978022530674934, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.4856172839506173, ""ap"": 0.50355393030595, ""neg_fail"": 0.8611111044883728, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.2781065088757396, ""ap"": 0.3974732140441367, ""neg_fail"": 0.0, ""n_test"": 13}}"
distmult,"DistMult (relation types, no propagation)",0.0,1,33024,0.4810337370242214,0.4748692282990805,0.4819416213359244,-0.0012907616328448057,0.12743362831858407,0.0037885475903749466,0.10929203539823008,-0.03806595131754875,"{""targets"": {""auc"": 0.4719742063492064, ""ap"": 0.4895615189124728, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.46982167352537724, ""ap"": 0.4730633536163117, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.45501750996256496, ""ap"": 0.4832792963221063, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5249366018596788, ""ap"": 0.5252946582312479, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.43032242482791927, ""ap"": 0.46954550973820686, ""neg_fail"": 0.032967034727334976, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.4832098765432099, ""ap"": 0.4928719538766628, ""neg_fail"": 0.8722222447395325, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.4615384615384615, ""ap"": 0.4731576267617458, ""neg_fail"": 0.0, ""n_test"": 13}}"
distmult,"DistMult (relation types, no propagation)",0.3,0,33024,0.5481228373702423,0.5090800770686857,0.5185939989891675,0.005547058302909136,0.1424778761061947,0.002326581859961152,0.09734513274336283,-0.03912683203816414,"{""targets"": {""auc"": 0.5528628117913832, ""ap"": 0.5466237394711343, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.5106310013717421, ""ap"": 0.5365428418406843, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.47675401521555366, ""ap"": 0.5074370231226758, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5163627581209999, ""ap"": 0.5213159800767754, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.5319405868856418, ""ap"": 0.5545910464371618, ""neg_fail"": 0.021978022530674934, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.48904320987654326, ""ap"": 0.5114872086984334, ""neg_fail"": 0.8611111044883728, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.2544378698224852, ""ap"": 0.3872892700211834, ""neg_fail"": 0.0, ""n_test"": 13}}"
distmult,"DistMult (relation types, no propagation)",0.3,1,33024,0.48089100346020763,0.47082565744997296,0.47895228336143814,5.509189213626087e-05,0.12920353982300886,0.0031799934804439545,0.11283185840707964,-0.03822190687060356,"{""targets"": {""auc"": 0.4702380952380953, ""ap"": 0.4835686235618549, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.46467764060356653, ""ap"": 0.4698870892034877, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.45646661031276414, ""ap"": 0.483892843445252, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5191402004588819, ""ap"": 0.52285176282251, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.4143823209757275, ""ap"": 0.45886585013542835, ""neg_fail"": 0.032967034727334976, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.483858024691358, ""ap"": 0.49689530875098564, ""neg_fail"": 0.8722222447395325, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.4497041420118343, ""ap"": 0.4674888690686966, ""neg_fail"": 0.0, ""n_test"": 13}}"
gcn,"GCN (topology, no relation types)",0.0,0,36800,0.5052292387543252,0.5184685978907518,0.5119953834030975,0.08136719465255737,0.3238938053097345,0.06574180722236633,0.23495575221238937,-0.07595085352659225,"{""targets"": {""auc"": 0.4883786848072562, ""ap"": 0.4910806353612801, ""neg_fail"": 0.0, ""n_test"": 168}, ""recruits"": {""auc"": 0.5596707818930041, ""ap"": 0.5303105315856045, ""neg_fail"": 0.0, ""n_test"": 54}, ""requires"": {""auc"": 0.5004226542688082, ""ap"": 0.5436157806588708, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasType"": {""auc"": 0.5330274121482912, ""ap"": 0.5288207157200444, ""neg_fail"": 0.0, ""n_test"": 91}, ""hasIntensity"": {""auc"": 0.503018959062915, ""ap"": 0.5112982842811575, ""neg_fail"": 0.05494505539536476, ""n_test"": 91}, ""supportsGoal"": {""auc"": 0.5709104938271605, ""ap"": 0.5453672323731593, ""neg_fail"": 0.8999999761581421, ""n_test"": 180}, ""isVariationOf"": {""auc"": 0.5207100591715976, ""ap"": 0.5757459931372975, ""neg_fail"": 0.0, ""n_test"": 13}}"
