model,metric,mean_lam_hi,mean_lam_0,diff,p,d
distmult,auc,0.8555151830847859,0.8759802954561365,-0.020465112371350624,1.862645149230957e-09,-2.0167586489090157
distmult,ap,0.8315515415408932,0.8504900864018646,-0.018938544860971462,2.60770320892334e-08,-1.4695411102451807
distmult,delta_muscle,0.4387718101342519,0.25107708970705667,0.18769472042719526,1.862645149230957e-09,5.484400183161391
distmult,retrieval_muscle,0.7868346697212678,0.48324551355479184,0.30358915616647597,1.862645149230957e-09,12.449449589149609
distmult,delta_type,0.30272329300642015,0.6516334652900696,-0.34891017228364946,1.862645149230957e-09,-4.0659745028106276
distmult,retrieval_type,0.8989232531500574,0.967155402825506,-0.06823214967544866,1.862645149230957e-09,-8.353077869393605
distmult,silhouette_type,0.12755009929339087,0.3468926300605138,-0.21934253076712293,1.862645149230957e-09,-5.6565785665963695
gcn,auc,0.8263199775957432,0.8336311475180282,-0.007311169922285088,0.0008718203753232956,-0.7317208392813194
gcn,ap,0.7929988548539517,0.8117544263790725,-0.01875557152512075,1.862645149230957e-09,-1.7202421479007752
gcn,delta_muscle,0.5047618458668391,0.33545818030834196,0.16930366555849719,1.862645149230957e-09,11.53880998783435
gcn,retrieval_muscle,0.5091943489881634,0.38073310423825896,0.12846124474990445,1.733306644199106e-06,6.970740706582281
gcn,delta_type,0.4223659008741379,0.8095628460248311,-0.3871969451506932,1.862645149230957e-09,-12.935695953310512
gcn,retrieval_type,0.9018938526155023,0.9339824360442918,-0.03208858342878951,1.733306644199106e-06,-3.2645909979487353
gcn,silhouette_type,0.13176819458603856,0.40401968558629353,-0.272251491000255,1.862645149230957e-09,-10.347391990797844
gcn_distmult,auc,0.7746350542603094,0.8101597647553035,-0.03552471049499406,3.725290298461914e-09,-1.9518804314708762
gcn_distmult,ap,0.7486094782766103,0.7928264524832502,-0.04421697420663995,1.862645149230957e-09,-2.1767549213718125
gcn_distmult,delta_muscle,0.5082718382279078,0.3197895030180613,0.18848233520984647,1.862645149230957e-09,5.707025880840036
gcn_distmult,retrieval_muscle,0.611240931653303,0.3750668193967164,0.23617411225658658,1.862645149230957e-09,10.45637926486175
gcn_distmult,delta_type,0.31677264322837195,0.9681733866532644,-0.6514007434248924,1.862645149230957e-09,-7.10608022363647
gcn_distmult,retrieval_type,0.8405574646811761,0.9391981672394043,-0.09864070255822821,1.7322162331441136e-06,-7.064483470756087
gcn_distmult,silhouette_type,0.05262467985351878,0.4570266624291738,-0.404401982575655,1.862645149230957e-09,-8.919830716494248
mf,auc,0.8619618679549113,0.8732820051809845,-0.011320137226073279,2.551823854446411e-07,-1.4678438931138704
mf,ap,0.8242389468970706,0.8489171682487129,-0.024678221351642327,1.862645149230957e-09,-2.359484760858757
mf,delta_muscle,0.4403107633193334,0.24848092049360274,0.19182984282573065,1.862645149230957e-09,3.7725834969809657
mf,retrieval_muscle,0.7803665521191296,0.42216113020236734,0.3582054219167623,1.862645149230957e-09,13.780342735747507
mf,delta_type,0.36748289366563164,0.5877564171950023,-0.22027352352937063,3.725290298461914e-09,-2.256964150054768
mf,retrieval_type,0.9283008781977854,0.9704009163802978,-0.0421000381825124,1.7322162331441136e-06,-5.3769568971972355
mf,silhouette_type,0.1702560986081759,0.3239594539006551,-0.15370335529247922,1.862645149230957e-09,-3.218305875176995
rgcn,auc,0.7804302961562697,0.8286394398935797,-0.04820914373731,1.218356192111969e-05,-0.5074822125728476
rgcn,ap,0.7635327717625324,0.8123478146009935,-0.048815042838461054,5.973502993583679e-06,-0.5596163199791425
rgcn,delta_muscle,0.5193849007288615,0.28065567711989087,0.2387292236089706,8.009374141693115e-08,1.5501474499295385
rgcn,retrieval_muscle,0.7739366170294006,0.44841542573501336,0.3255211912943873,1.862645149230957e-09,6.682177237701518
rgcn,delta_type,0.3932017902533213,0.912431534131368,-0.5192297438780467,1.862645149230957e-09,-3.371783746030418
rgcn,retrieval_type,0.8916914852997329,0.9476975945017182,-0.056006109201985343,1.733306644199106e-06,-4.5276566693179925
rgcn,silhouette_type,0.1210414494698246,0.44199219942092893,-0.32095074995110434,1.862645149230957e-09,-6.963443528325075
