model,relation,n_test,auc,ap,neg_impossible
distmult,hasForce,170,0.8978 ± 0.0314,0.8853 ± 0.0372,0.0%
distmult,hasIntensity,175,0.7565 ± 0.0369,0.6997 ± 0.0409,0.0%
distmult,hasMechanic,158,0.9061 ± 0.0254,0.9048 ± 0.0260,0.0%
distmult,hasType,175,0.9272 ± 0.0154,0.8973 ± 0.0226,0.0%
distmult,isVariationOf,26,0.8603 ± 0.0494,0.8556 ± 0.0673,0.0%
distmult,recruits,341,0.8468 ± 0.0127,0.8481 ± 0.0175,0.0%
distmult,requires,175,0.6982 ± 0.0301,0.6884 ± 0.0351,0.0%
distmult,supportsGoal,330,0.9199 ± 0.0148,0.8773 ± 0.0203,0.0%
distmult,targets,175,0.7999 ± 0.0297,0.7998 ± 0.0302,0.0%
gcn,hasForce,170,0.8908 ± 0.0244,0.8852 ± 0.0301,0.0%
gcn,hasIntensity,175,0.6507 ± 0.0300,0.6136 ± 0.0262,0.0%
gcn,hasMechanic,158,0.8464 ± 0.0271,0.8435 ± 0.0311,0.0%
gcn,hasType,175,0.8920 ± 0.0196,0.8777 ± 0.0249,0.0%
gcn,isVariationOf,26,0.8684 ± 0.0496,0.8599 ± 0.0711,0.0%
gcn,recruits,341,0.8281 ± 0.0128,0.7847 ± 0.0172,0.0%
gcn,requires,175,0.6959 ± 0.0223,0.6810 ± 0.0265,0.0%
gcn,supportsGoal,330,0.9185 ± 0.0163,0.9047 ± 0.0205,0.0%
gcn,targets,175,0.7977 ± 0.0233,0.7539 ± 0.0310,0.0%
gcn_distmult,hasForce,170,0.8427 ± 0.0544,0.8341 ± 0.0571,0.0%
gcn_distmult,hasIntensity,175,0.5372 ± 0.0597,0.5154 ± 0.0428,0.0%
gcn_distmult,hasMechanic,158,0.8043 ± 0.0580,0.8049 ± 0.0545,0.0%
gcn_distmult,hasType,175,0.8448 ± 0.0416,0.8132 ± 0.0500,0.0%
gcn_distmult,isVariationOf,26,0.7868 ± 0.0842,0.7889 ± 0.0826,0.0%
gcn_distmult,recruits,341,0.7968 ± 0.0162,0.7588 ± 0.0212,0.0%
gcn_distmult,requires,175,0.5954 ± 0.0630,0.5850 ± 0.0603,0.0%
gcn_distmult,supportsGoal,330,0.8707 ± 0.0316,0.8602 ± 0.0371,0.0%
gcn_distmult,targets,175,0.7477 ± 0.0335,0.6940 ± 0.0380,0.0%
mf,hasForce,170,0.9273 ± 0.0171,0.9187 ± 0.0205,0.0%
mf,hasIntensity,175,0.7697 ± 0.0374,0.7024 ± 0.0392,0.0%
mf,hasMechanic,158,0.9188 ± 0.0223,0.9184 ± 0.0223,0.0%
mf,hasType,175,0.9533 ± 0.0086,0.9431 ± 0.0143,0.0%
mf,isVariationOf,26,0.9022 ± 0.0467,0.9042 ± 0.0547,0.0%
mf,recruits,341,0.8283 ± 0.0152,0.7568 ± 0.0243,0.0%
mf,requires,175,0.7258 ± 0.0261,0.7207 ± 0.0302,0.0%
mf,supportsGoal,330,0.9394 ± 0.0134,0.9170 ± 0.0183,0.0%
mf,targets,175,0.7803 ± 0.0246,0.7055 ± 0.0310,0.0%
rgcn,hasForce,170,0.8264 ± 0.1341,0.8200 ± 0.1302,0.0%
rgcn,hasIntensity,175,0.5837 ± 0.0590,0.5481 ± 0.0479,0.0%
rgcn,hasMechanic,158,0.8366 ± 0.1219,0.8361 ± 0.1235,0.0%
rgcn,hasType,175,0.8529 ± 0.1233,0.8091 ± 0.1074,0.0%
rgcn,isVariationOf,26,0.8003 ± 0.1294,0.8076 ± 0.1247,0.0%
rgcn,recruits,341,0.7779 ± 0.0978,0.7667 ± 0.0993,0.0%
rgcn,requires,175,0.6273 ± 0.0680,0.6082 ± 0.0655,0.0%
rgcn,supportsGoal,330,0.8743 ± 0.1095,0.8559 ± 0.1020,0.0%
rgcn,targets,175,0.7347 ± 0.1010,0.7034 ± 0.0877,0.0%
