metric,reference,model,n,mean_ref,mean_model,diff,p,d,p_holm,sig
auc,rgcn,distmult,30,0.7804302961562697,0.8555151830847859,-0.07508488692851623,1.862645149230957e-09,-0.7301368033115916,5.21540641784668e-08,*
ap,rgcn,distmult,30,0.7635327717625324,0.8315515415408932,-0.06801876977836074,5.587935447692871e-09,-0.7010912081710963,1.2852251529693604e-07,*
delta_muscle,rgcn,distmult,30,0.5193849007288615,0.4387718101342519,0.08061309059460953,0.013663241639733315,0.5583652400405313,0.20494862459599972,
retrieval_muscle,rgcn,distmult,30,0.7739366170294006,0.7868346697212678,-0.012898052691867168,0.4843036415478231,-0.2872051609126284,1.0,
delta_type,rgcn,distmult,30,0.3932017902533213,0.30272329300642015,0.09047849724690116,0.013663241639733315,0.6727269243994658,0.20494862459599972,
retrieval_type,rgcn,distmult,30,0.8916914852997329,0.8989232531500574,-0.007231767850324533,0.013663241639733315,-0.5366725214195696,0.20494862459599972,
silhouette_type,rgcn,distmult,30,0.1210414494698246,0.12755009929339087,-0.006508649823566262,0.6263462882488966,-0.15783090670995004,1.0,
auc,rgcn,gcn,30,0.7804302961562697,0.8263199775957432,-0.04588968143947347,0.0023674946278333664,-0.4490621260830418,0.04024740867316723,*
ap,rgcn,gcn,30,0.7635327717625324,0.7929988548539517,-0.029466083091419293,0.583757072687149,-0.3036983623616763,1.0,
delta_muscle,rgcn,gcn,30,0.5193849007288615,0.5047618458668391,0.014623054862022311,0.013663241639733315,0.10276564477130248,0.20494862459599972,
retrieval_muscle,rgcn,gcn,30,0.7739366170294006,0.5091943489881634,0.26474226804123724,1.733306644199106e-06,5.514093386392758,3.466613288398212e-05,*
delta_type,rgcn,gcn,30,0.3932017902533213,0.4223659008741379,-0.029164110620816586,0.3492113798856735,-0.20761081035429665,1.0,
retrieval_type,rgcn,gcn,30,0.8916914852997329,0.9018938526155023,-0.0102023673157694,0.00016989745199680328,-0.8053368348726943,0.003058154135942459,*
silhouette_type,rgcn,gcn,30,0.1210414494698246,0.13176819458603856,-0.010726745116213951,0.7000329215079546,-0.2503101334403206,1.0,
auc,rgcn,gcn_distmult,30,0.7804302961562697,0.7746350542603094,0.005795241895960257,0.013663241639733315,0.05608897645186678,0.20494862459599972,
ap,rgcn,gcn_distmult,30,0.7635327717625324,0.7486094782766103,0.01492329348592214,0.013663241639733315,0.15480094490486976,0.20494862459599972,
delta_muscle,rgcn,gcn_distmult,30,0.5193849007288615,0.5082718382279078,0.011113062500953674,0.01453801617026329,0.08142131377386241,0.20494862459599972,
retrieval_muscle,rgcn,gcn_distmult,30,0.7739366170294006,0.611240931653303,0.1626956853760977,3.725290298461914e-09,3.524880964015616,9.313225746154785e-08,*
delta_type,rgcn,gcn_distmult,30,0.3932017902533213,0.31677264322837195,0.07642914702494935,0.010598260909318924,0.555104302145942,0.16957217454910278,
retrieval_type,rgcn,gcn_distmult,30,0.8916914852997329,0.8405574646811761,0.051134020618556764,1.862645149230957e-09,3.100197975540642,5.21540641784668e-08,*
silhouette_type,rgcn,gcn_distmult,30,0.1210414494698246,0.05262467985351878,0.06841676961630583,1.6391277313232422e-07,1.4905824543260981,3.4421682357788086e-06,*
auc,rgcn,mf,30,0.7804302961562697,0.8619618679549113,-0.08153157179864157,1.862645149230957e-09,-0.8162084951915543,5.21540641784668e-08,*
ap,rgcn,mf,30,0.7635327717625324,0.8242389468970706,-0.06070617513453813,3.725290298461914e-09,-0.6470982146538923,9.313225746154785e-08,*
delta_muscle,rgcn,mf,30,0.5193849007288615,0.4403107633193334,0.07907413740952807,0.013663241639733315,0.5702227053521054,0.20494862459599972,
retrieval_muscle,rgcn,mf,30,0.7739366170294006,0.7803665521191296,-0.006429935089729,0.02010699652999897,-0.14290269484575188,0.20494862459599972,
delta_type,rgcn,mf,30,0.3932017902533213,0.36748289366563164,0.025718896587689666,0.027741437777876854,0.1923070865165446,0.20494862459599972,
retrieval_type,rgcn,mf,30,0.8916914852997329,0.9283008781977854,-0.03660939289805254,1.733306644199106e-06,-3.0257772047076332,3.466613288398212e-05,*
silhouette_type,rgcn,mf,30,0.1210414494698246,0.1702560986081759,-0.04921464913835129,2.60770320892334e-08,-1.1697871815913035,5.736947059631348e-07,*
