model,label,lam,seed,params,val_auc,auc,ap,delta_muscle,retrieval_muscle,delta_type,retrieval_type,silhouette_type,per_relation
jaccard,Jaccard on target-muscle sets (no learning),,0,0,,,,,1.0,,0.5427262313860252,,{}
mf,Free embeddings (matrix factorization),0.0,0,59008,0.8910219853610366,0.8584299687825183,0.8180227914607784,0.25646859407424927,0.4357388316151203,0.39079374074935913,0.9294387170675831,0.18754027783870697,"{""hasForce"": {""auc"": 0.9412110726643599, ""ap"": 0.9210007867587586, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8358204081632653, ""ap"": 0.7969196787401747, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9150777119051434, ""ap"": 0.9117197213020399, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.8446745562130178, ""ap"": 0.8450527471036298, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8249671055460479, ""ap"": 0.7921301406340474, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.750530612244898, ""ap"": 0.7555866792756165, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9538751147842056, ""ap"": 0.938957877634042, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7684244897959183, ""ap"": 0.678232563677521, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,1,59008,0.8916006803030074,0.853029760665973,0.8151889769129607,0.31183284521102905,0.43871706758304696,0.5247092247009277,0.9315005727376862,0.24141405522823334,"{""hasForce"": {""auc"": 0.9430795847750866, ""ap"": 0.9374743525169186, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8512653061224489, ""ap"": 0.7989251544414646, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9040618490626503, ""ap"": 0.9012158016539739, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.9393491124260355, ""ap"": 0.9376967607546396, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8425452137494518, ""ap"": 0.8155155629450828, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7233959183673468, ""ap"": 0.7018092544577134, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9125803489439852, ""ap"": 0.8779366147648963, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7731591836734694, ""ap"": 0.7100131238474676, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,2,59008,0.8743945992958091,0.8722790842872008,0.8401933053103234,0.280446320772171,0.4263459335624284,0.48120731115341187,0.938602520045819,0.21642908453941345,"{""hasForce"": {""auc"": 0.9224567474048443, ""ap"": 0.9149606672480527, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8023510204081632, ""ap"": 0.7712872867491918, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9008572344175613, ""ap"": 0.8943980174311357, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.9423076923076923, ""ap"": 0.9296876188131948, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8402232522940118, ""ap"": 0.8023579486930413, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.8118530612244899, ""ap"": 0.80113381280705, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9530027548209365, ""ap"": 0.9328607012349466, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.8060081632653062, ""ap"": 0.7505758603322192, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,3,59008,0.8806458504712832,0.8659279916753382,0.832911361925619,0.17583206295967102,0.3958762886597938,0.2973737418651581,0.9081328751431844,0.13551340997219086,"{""hasForce"": {""auc"": 0.9436678200692042, ""ap"": 0.9343595925067816, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8751020408163265, ""ap"": 0.8293665128806373, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9472039737221599, ""ap"": 0.9443203481368614, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.8150887573964497, ""ap"": 0.7879210932607112, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.83078060904189, ""ap"": 0.7672476557133412, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7295346938775511, ""ap"": 0.7316697809789956, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9465381083562902, ""ap"": 0.9343697161276707, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7782857142857142, ""ap"": 0.7401552612198685, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,4,59008,0.858075906608057,0.8530326742976068,0.8204137133742163,0.23698563873767853,0.4329896907216495,0.40475302934646606,0.9129438717067583,0.1772335022687912,"{""hasForce"": {""auc"": 0.9037716262975778, ""ap"": 0.9013691532591066, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8240979591836735, ""ap"": 0.7989521567833138, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9051834641884313, ""ap"": 0.8981476330766931, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.8372781065088758, ""ap"": 0.8550883213960175, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8581625545015952, ""ap"": 0.8083824864897547, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7231673469387756, ""ap"": 0.7286062424147904, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9251423324150596, ""ap"": 0.9063887492738711, ""neg_fail"": 0.0030303029343485832, ""n_test"": 330}, ""targets"": {""auc"": 0.7932081632653061, ""ap"": 0.73332662907795, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,5,59008,0.8735072109763627,0.8616545265348596,0.8299553786173463,0.3184391260147095,0.44581901489117987,0.5235029458999634,0.93631156930126,0.23328867554664612,"{""hasForce"": {""auc"": 0.9166089965397924, ""ap"": 0.8997898501567575, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8269387755102041, ""ap"": 0.773790700301169, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9522912994712386, ""ap"": 0.9528198643492664, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.8831360946745562, ""ap"": 0.8911486838388161, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8459335575029454, ""ap"": 0.8006198093783203, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7655183673469387, ""ap"": 0.7772070679255925, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.913957759412305, ""ap"": 0.8871493032952269, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.8043755102040817, ""ap"": 0.7683336218326484, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,6,59008,0.8648032353084663,0.8504260145681583,0.8097801920900585,0.152339369058609,0.3660939289805269,0.2832249402999878,0.9104238258877434,0.13765104115009308,"{""hasForce"": {""auc"": 0.924636678200692, ""ap"": 0.9034388877194718, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8537795918367347, ""ap"": 0.8005524263744802, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9393927255247556, ""ap"": 0.9352808465865391, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.8609467455621302, ""ap"": 0.8571894223260619, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8057550244665939, ""ap"": 0.7591119776610824, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7245714285714285, ""ap"": 0.7292369005534425, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9457759412304867, ""ap"": 0.9310138634681114, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7530448979591837, ""ap"": 0.6758389277376715, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,7,59008,0.8702495285486701,0.8687448491155045,0.8372886300470008,0.2175271064043045,0.3928980526918671,0.3804047703742981,0.9195876288659793,0.19195374846458435,"{""hasForce"": {""auc"": 0.9369204152249134, ""ap"": 0.9286452511394622, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8756571428571428, ""ap"": 0.8192625082851175, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9196442877743952, ""ap"": 0.9171186784564944, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.893491124260355, ""ap"": 0.8836837227140889, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.838623678846931, ""ap"": 0.7958675346282881, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7359020408163266, ""ap"": 0.7341701144168048, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9547658402203857, ""ap"": 0.950411675147073, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.7805061224489795, ""ap"": 0.7152126997521, ""neg_fail"": 0.0, ""n_test"": 175}}"
mf,Free embeddings (matrix factorization),0.0,8,59008,0.8774857387024112,0.857471383975026,0.8221191230284606,0.2276477813720703,0.4036655211912944,0.3863612413406372,0.9246277205040092,0.20022715628147125,"{""hasForce"": {""auc"": 0.9490311418685122, ""ap"": 0.9511196564525521, ""neg_fail"": 0.0, ""n_test"": 170}, ""hasIntensity"": {""auc"": 0.8439183673469388, ""ap"": 0.8129469816729611, ""neg_fail"": 0.0, ""n_test"": 175}, ""hasMechanic"": {""auc"": 0.9194840570421408, ""ap"": 0.9202427155722896, ""neg_fail"": 0.0, ""n_test"": 158}, ""isVariationOf"": {""auc"": 0.8357988165680473, ""ap"": 0.7455000377792461, ""neg_fail"": 0.0, ""n_test"": 26}, ""recruits"": {""auc"": 0.8050412363154772, ""ap"": 0.7583843504819565, ""neg_fail"": 0.0, ""n_test"": 341}, ""requires"": {""auc"": 0.7802448979591837, ""ap"": 0.7896441083388619, ""neg_fail"": 0.0, ""n_test"": 175}, ""supportsGoal"": {""auc"": 0.9553259871441689, ""ap"": 0.9409364956930206, ""neg_fail"": 0.0, ""n_test"": 330}, ""targets"": {""auc"": 0.721730612244898, ""ap"": 0.6545728807248958, ""neg_fail"": 0.0, ""n_test"": 175}}"
